run_id,condition,task_id,seed,run_path,status
agent_with_0001,Agent_With,Task-01,1001,C:\Users\alejandro.gl\Documents\_projects\doekit-sggestions\Measures\Agent_With\run_0001,pending
agent_with_0002,Agent_With,Task-02,1002,C:\Users\alejandro.gl\Documents\_projects\doekit-sggestions\Measures\Agent_With\run_0002,pending
agent_with_0003,Agent_With,Task-03,1003,C:\Users\alejandro.gl\Documents\_projects\doekit-sggestions\Measures\Agent_With\run_0003,pending
agent_with_0004,Agent_With,Task-01,1004,C:\Users\alejandro.gl\Documents\_projects\doekit-sggestions\Measures\Agent_With\run_0004,pending
agent_with_0005,Agent_With,Task-02,1005,C:\Users\alejandro.gl\Documents\_projects\doekit-sggestions\Measures\Agent_With\run_0005,pending
agent_with_0006,Agent_With,Task-03,1006,C:\Users\alejandro.gl\Documents\_projects\doekit-sggestions\Measures\Agent_With\run_0006,pending
agent_with_0007,Agent_With,Task-01,1007,C:\Users\alejandro.gl\Documents\_projects\doekit-sggestions\Measures\Agent_With\run_0007,pending
agent_with_0008,Agent_With,Task-02,1008,C:\Users\alejandro.gl\Documents\_projects\doekit-sggestions\Measures\Agent_With\run_0008,pending
agent_with_0009,Agent_With,Task-03,1009,C:\Users\alejandro.gl\Documents\_projects\doekit-sggestions\Measures\Agent_With\run_0009,pending
agent_with_0010,Agent_With,Task-01,1010,C:\Users\alejandro.gl\Documents\_projects\doekit-sggestions\Measures\Agent_With\run_0010,pending
agent_without_0001,Agent_Without,Task-01,1001,C:\Users\alejandro.gl\Documents\_projects\doekit-sggestions\Measures\Agent_Without\run_0001,pending
agent_without_0002,Agent_Without,Task-02,1002,C:\Users\alejandro.gl\Documents\_projects\doekit-sggestions\Measures\Agent_Without\run_0002,pending
agent_without_0003,Agent_Without,Task-03,1003,C:\Users\alejandro.gl\Documents\_projects\doekit-sggestions\Measures\Agent_Without\run_0003,pending
agent_without_0004,Agent_Without,Task-01,1004,C:\Users\alejandro.gl\Documents\_projects\doekit-sggestions\Measures\Agent_Without\run_0004,pending
agent_without_0005,Agent_Without,Task-02,1005,C:\Users\alejandro.gl\Documents\_projects\doekit-sggestions\Measures\Agent_Without\run_0005,pending
agent_without_0006,Agent_Without,Task-03,1006,C:\Users\alejandro.gl\Documents\_projects\doekit-sggestions\Measures\Agent_Without\run_0006,pending
agent_without_0007,Agent_Without,Task-01,1007,C:\Users\alejandro.gl\Documents\_projects\doekit-sggestions\Measures\Agent_Without\run_0007,pending
agent_without_0008,Agent_Without,Task-02,1008,C:\Users\alejandro.gl\Documents\_projects\doekit-sggestions\Measures\Agent_Without\run_0008,pending
agent_without_0009,Agent_Without,Task-03,1009,C:\Users\alejandro.gl\Documents\_projects\doekit-sggestions\Measures\Agent_Without\run_0009,pending
agent_without_0010,Agent_Without,Task-01,1010,C:\Users\alejandro.gl\Documents\_projects\doekit-sggestions\Measures\Agent_Without\run_0010,pending
