replicate,task_id,source_id,dataset_path,difficulty_index,difficulty_stratum,rows,n_features,collinearity_mean_abs,linear_noise_proxy,doe_cell,pair_id,seed,F2_prompt_strictness,F3_context_visibility,F4_timeout_budget,F1_doekit_access,agent_condition,prompt_strictness_level,context_visibility_level,timeout_budget_level,run_order,meta_run_id
1,Task-01,SRC-101,Measures/data/public/california_housing.csv,48.3813,high,20640,8,0.132442,0.393767,6,PAIR_0006,3006,1,-1,-1,1,Agent_With,high,task_only,short,1,meta_run_00001
1,Task-01,SRC-101,Measures/data/public/california_housing.csv,48.3813,high,20640,8,0.132442,0.393767,6,PAIR_0006,3006,1,-1,-1,-1,Agent_Without,high,task_only,short,2,meta_run_00002
3,Task-03,SRC-103,Measures/data/public/wine.csv,38.3494,low,178,13,0.304957,0.099911,2,PAIR_0058,3058,-1,-1,1,-1,Agent_Without,medium,task_only,long,3,meta_run_00003
3,Task-03,SRC-103,Measures/data/public/wine.csv,38.3494,low,178,13,0.304957,0.099911,2,PAIR_0058,3058,-1,-1,1,1,Agent_With,medium,task_only,long,4,meta_run_00004
2,Task-01,SRC-101,Measures/data/public/california_housing.csv,48.3813,high,20640,8,0.132442,0.393767,1,PAIR_0022,3022,-1,1,1,-1,Agent_Without,medium,task_plus_history,long,5,meta_run_00005
2,Task-01,SRC-101,Measures/data/public/california_housing.csv,48.3813,high,20640,8,0.132442,0.393767,1,PAIR_0022,3022,-1,1,1,1,Agent_With,medium,task_plus_history,long,6,meta_run_00006
3,Task-02,SRC-102,Measures/data/public/diabetes.csv,46.8639,medium,442,10,0.321754,0.482252,5,PAIR_0054,3054,1,-1,1,-1,Agent_Without,high,task_only,long,7,meta_run_00007
3,Task-02,SRC-102,Measures/data/public/diabetes.csv,46.8639,medium,442,10,0.321754,0.482252,5,PAIR_0054,3054,1,-1,1,1,Agent_With,high,task_only,long,8,meta_run_00008
1,Task-01,SRC-101,Measures/data/public/california_housing.csv,48.3813,high,20640,8,0.132442,0.393767,3,PAIR_0003,3003,1,1,-1,-1,Agent_Without,high,task_plus_history,short,9,meta_run_00009
1,Task-01,SRC-101,Measures/data/public/california_housing.csv,48.3813,high,20640,8,0.132442,0.393767,3,PAIR_0003,3003,1,1,-1,1,Agent_With,high,task_plus_history,short,10,meta_run_00010
1,Task-01,SRC-101,Measures/data/public/california_housing.csv,48.3813,high,20640,8,0.132442,0.393767,1,PAIR_0001,3001,-1,1,1,-1,Agent_Without,medium,task_plus_history,long,11,meta_run_00011
1,Task-01,SRC-101,Measures/data/public/california_housing.csv,48.3813,high,20640,8,0.132442,0.393767,1,PAIR_0001,3001,-1,1,1,1,Agent_With,medium,task_plus_history,long,12,meta_run_00012
1,Task-02,SRC-102,Measures/data/public/diabetes.csv,46.8639,medium,442,10,0.321754,0.482252,5,PAIR_0012,3012,1,-1,1,-1,Agent_Without,high,task_only,long,13,meta_run_00013
1,Task-02,SRC-102,Measures/data/public/diabetes.csv,46.8639,medium,442,10,0.321754,0.482252,5,PAIR_0012,3012,1,-1,1,1,Agent_With,high,task_only,long,14,meta_run_00014
1,Task-03,SRC-103,Measures/data/public/wine.csv,38.3494,low,178,13,0.304957,0.099911,3,PAIR_0017,3017,1,1,-1,1,Agent_With,high,task_plus_history,short,15,meta_run_00015
1,Task-03,SRC-103,Measures/data/public/wine.csv,38.3494,low,178,13,0.304957,0.099911,3,PAIR_0017,3017,1,1,-1,-1,Agent_Without,high,task_plus_history,short,16,meta_run_00016
2,Task-01,SRC-101,Measures/data/public/california_housing.csv,48.3813,high,20640,8,0.132442,0.393767,3,PAIR_0024,3024,1,1,-1,-1,Agent_Without,high,task_plus_history,short,17,meta_run_00017
2,Task-01,SRC-101,Measures/data/public/california_housing.csv,48.3813,high,20640,8,0.132442,0.393767,3,PAIR_0024,3024,1,1,-1,1,Agent_With,high,task_plus_history,short,18,meta_run_00018
3,Task-01,SRC-101,Measures/data/public/california_housing.csv,48.3813,high,20640,8,0.132442,0.393767,4,PAIR_0046,3046,-1,-1,-1,1,Agent_With,medium,task_only,short,19,meta_run_00019
3,Task-01,SRC-101,Measures/data/public/california_housing.csv,48.3813,high,20640,8,0.132442,0.393767,4,PAIR_0046,3046,-1,-1,-1,-1,Agent_Without,medium,task_only,short,20,meta_run_00020
3,Task-03,SRC-103,Measures/data/public/wine.csv,38.3494,low,178,13,0.304957,0.099911,4,PAIR_0060,3060,-1,-1,-1,-1,Agent_Without,medium,task_only,short,21,meta_run_00021
3,Task-03,SRC-103,Measures/data/public/wine.csv,38.3494,low,178,13,0.304957,0.099911,4,PAIR_0060,3060,-1,-1,-1,1,Agent_With,medium,task_only,short,22,meta_run_00022
1,Task-01,SRC-101,Measures/data/public/california_housing.csv,48.3813,high,20640,8,0.132442,0.393767,2,PAIR_0002,3002,-1,-1,1,1,Agent_With,medium,task_only,long,23,meta_run_00023
1,Task-01,SRC-101,Measures/data/public/california_housing.csv,48.3813,high,20640,8,0.132442,0.393767,2,PAIR_0002,3002,-1,-1,1,-1,Agent_Without,medium,task_only,long,24,meta_run_00024
3,Task-03,SRC-103,Measures/data/public/wine.csv,38.3494,low,178,13,0.304957,0.099911,5,PAIR_0061,3061,1,-1,1,-1,Agent_Without,high,task_only,long,25,meta_run_00025
3,Task-03,SRC-103,Measures/data/public/wine.csv,38.3494,low,178,13,0.304957,0.099911,5,PAIR_0061,3061,1,-1,1,1,Agent_With,high,task_only,long,26,meta_run_00026
2,Task-02,SRC-102,Measures/data/public/diabetes.csv,46.8639,medium,442,10,0.321754,0.482252,3,PAIR_0031,3031,1,1,-1,-1,Agent_Without,high,task_plus_history,short,27,meta_run_00027
2,Task-02,SRC-102,Measures/data/public/diabetes.csv,46.8639,medium,442,10,0.321754,0.482252,3,PAIR_0031,3031,1,1,-1,1,Agent_With,high,task_plus_history,short,28,meta_run_00028
1,Task-03,SRC-103,Measures/data/public/wine.csv,38.3494,low,178,13,0.304957,0.099911,2,PAIR_0016,3016,-1,-1,1,-1,Agent_Without,medium,task_only,long,29,meta_run_00029
1,Task-03,SRC-103,Measures/data/public/wine.csv,38.3494,low,178,13,0.304957,0.099911,2,PAIR_0016,3016,-1,-1,1,1,Agent_With,medium,task_only,long,30,meta_run_00030
1,Task-01,SRC-101,Measures/data/public/california_housing.csv,48.3813,high,20640,8,0.132442,0.393767,4,PAIR_0004,3004,-1,-1,-1,1,Agent_With,medium,task_only,short,31,meta_run_00031
1,Task-01,SRC-101,Measures/data/public/california_housing.csv,48.3813,high,20640,8,0.132442,0.393767,4,PAIR_0004,3004,-1,-1,-1,-1,Agent_Without,medium,task_only,short,32,meta_run_00032
3,Task-01,SRC-101,Measures/data/public/california_housing.csv,48.3813,high,20640,8,0.132442,0.393767,5,PAIR_0047,3047,1,-1,1,-1,Agent_Without,high,task_only,long,33,meta_run_00033
3,Task-01,SRC-101,Measures/data/public/california_housing.csv,48.3813,high,20640,8,0.132442,0.393767,5,PAIR_0047,3047,1,-1,1,1,Agent_With,high,task_only,long,34,meta_run_00034
1,Task-03,SRC-103,Measures/data/public/wine.csv,38.3494,low,178,13,0.304957,0.099911,6,PAIR_0020,3020,1,-1,-1,1,Agent_With,high,task_only,short,35,meta_run_00035
1,Task-03,SRC-103,Measures/data/public/wine.csv,38.3494,low,178,13,0.304957,0.099911,6,PAIR_0020,3020,1,-1,-1,-1,Agent_Without,high,task_only,short,36,meta_run_00036
1,Task-01,SRC-101,Measures/data/public/california_housing.csv,48.3813,high,20640,8,0.132442,0.393767,5,PAIR_0005,3005,1,-1,1,-1,Agent_Without,high,task_only,long,37,meta_run_00037
1,Task-01,SRC-101,Measures/data/public/california_housing.csv,48.3813,high,20640,8,0.132442,0.393767,5,PAIR_0005,3005,1,-1,1,1,Agent_With,high,task_only,long,38,meta_run_00038
2,Task-02,SRC-102,Measures/data/public/diabetes.csv,46.8639,medium,442,10,0.321754,0.482252,2,PAIR_0030,3030,-1,-1,1,-1,Agent_Without,medium,task_only,long,39,meta_run_00039
2,Task-02,SRC-102,Measures/data/public/diabetes.csv,46.8639,medium,442,10,0.321754,0.482252,2,PAIR_0030,3030,-1,-1,1,1,Agent_With,medium,task_only,long,40,meta_run_00040
2,Task-03,SRC-103,Measures/data/public/wine.csv,38.3494,low,178,13,0.304957,0.099911,2,PAIR_0037,3037,-1,-1,1,-1,Agent_Without,medium,task_only,long,41,meta_run_00041
2,Task-03,SRC-103,Measures/data/public/wine.csv,38.3494,low,178,13,0.304957,0.099911,2,PAIR_0037,3037,-1,-1,1,1,Agent_With,medium,task_only,long,42,meta_run_00042
3,Task-02,SRC-102,Measures/data/public/diabetes.csv,46.8639,medium,442,10,0.321754,0.482252,4,PAIR_0053,3053,-1,-1,-1,-1,Agent_Without,medium,task_only,short,43,meta_run_00043
3,Task-02,SRC-102,Measures/data/public/diabetes.csv,46.8639,medium,442,10,0.321754,0.482252,4,PAIR_0053,3053,-1,-1,-1,1,Agent_With,medium,task_only,short,44,meta_run_00044
2,Task-03,SRC-103,Measures/data/public/wine.csv,38.3494,low,178,13,0.304957,0.099911,3,PAIR_0038,3038,1,1,-1,-1,Agent_Without,high,task_plus_history,short,45,meta_run_00045
2,Task-03,SRC-103,Measures/data/public/wine.csv,38.3494,low,178,13,0.304957,0.099911,3,PAIR_0038,3038,1,1,-1,1,Agent_With,high,task_plus_history,short,46,meta_run_00046
3,Task-01,SRC-101,Measures/data/public/california_housing.csv,48.3813,high,20640,8,0.132442,0.393767,3,PAIR_0045,3045,1,1,-1,1,Agent_With,high,task_plus_history,short,47,meta_run_00047
3,Task-01,SRC-101,Measures/data/public/california_housing.csv,48.3813,high,20640,8,0.132442,0.393767,3,PAIR_0045,3045,1,1,-1,-1,Agent_Without,high,task_plus_history,short,48,meta_run_00048
3,Task-01,SRC-101,Measures/data/public/california_housing.csv,48.3813,high,20640,8,0.132442,0.393767,2,PAIR_0044,3044,-1,-1,1,-1,Agent_Without,medium,task_only,long,49,meta_run_00049
3,Task-01,SRC-101,Measures/data/public/california_housing.csv,48.3813,high,20640,8,0.132442,0.393767,2,PAIR_0044,3044,-1,-1,1,1,Agent_With,medium,task_only,long,50,meta_run_00050
3,Task-03,SRC-103,Measures/data/public/wine.csv,38.3494,low,178,13,0.304957,0.099911,7,PAIR_0063,3063,-1,1,-1,-1,Agent_Without,medium,task_plus_history,short,51,meta_run_00051
3,Task-03,SRC-103,Measures/data/public/wine.csv,38.3494,low,178,13,0.304957,0.099911,7,PAIR_0063,3063,-1,1,-1,1,Agent_With,medium,task_plus_history,short,52,meta_run_00052
2,Task-01,SRC-101,Measures/data/public/california_housing.csv,48.3813,high,20640,8,0.132442,0.393767,4,PAIR_0025,3025,-1,-1,-1,1,Agent_With,medium,task_only,short,53,meta_run_00053
2,Task-01,SRC-101,Measures/data/public/california_housing.csv,48.3813,high,20640,8,0.132442,0.393767,4,PAIR_0025,3025,-1,-1,-1,-1,Agent_Without,medium,task_only,short,54,meta_run_00054
1,Task-02,SRC-102,Measures/data/public/diabetes.csv,46.8639,medium,442,10,0.321754,0.482252,2,PAIR_0009,3009,-1,-1,1,1,Agent_With,medium,task_only,long,55,meta_run_00055
1,Task-02,SRC-102,Measures/data/public/diabetes.csv,46.8639,medium,442,10,0.321754,0.482252,2,PAIR_0009,3009,-1,-1,1,-1,Agent_Without,medium,task_only,long,56,meta_run_00056
1,Task-02,SRC-102,Measures/data/public/diabetes.csv,46.8639,medium,442,10,0.321754,0.482252,7,PAIR_0014,3014,-1,1,-1,-1,Agent_Without,medium,task_plus_history,short,57,meta_run_00057
