meta_run_id,pair_id,agent_condition,seed,task_id,source_id,dataset_path,difficulty_index,difficulty_stratum,prompt_strictness_level,context_visibility_level,timeout_budget_level,start_ts,end_ts,total_time_sec,time_to_first_valid_plan_sec,iterations_count,d_efficiency,mean_power,predicted_gain,uncertainty_index,budget_used_ratio,invalid_assumptions_count,budget_violations_count,model_mismatch_flags,decision_reversal_count,output_completeness_score,format_compliance_score,impact_score,notes
meta_run_00001,PAIR_0006,Agent_With,3006,Task-01,SRC-101,Measures/data/public/california_housing.csv,48.3813,high,high,task_only,short,2026-08-14T13:38:33.962597+00:00,2026-08-14T13:52:11.153403+00:00,0.2946,0.1031,3,0.44744732813478855,0.7488014490084497,0.3976028980168994,0.2362665871856292,1.0,0,0,0,0,1.0,1.0,82.6222,real_data_meta_benchmark_run
meta_run_00002,PAIR_0006,Agent_Without,3006,Task-01,SRC-101,Measures/data/public/california_housing.csv,48.3813,high,high,task_only,short,2026-08-14T13:38:33.965814+00:00,2026-08-14T13:52:13.340001+00:00,0.0408,0.0143,4,0.4744007245042248,0.6807285900076815,0.2976028980168994,0.2862665871856292,1.0,0,0,0,0,1.0,1.0,79.9556,real_data_meta_benchmark_run
meta_run_00003,PAIR_0058,Agent_Without,3058,Task-03,SRC-103,Measures/data/public/wine.csv,38.3494,low,medium,task_only,long,2026-08-14T13:58:17.356009+00:00,2026-08-14T13:58:34.290584+00:00,0.1096,0.0384,4,0.5575516793054403,0.8319121441917094,0.6302067172217609,0.1873532682854443,1.0,0,0,0,0,1.0,1.0,85.7803,real_data_meta_benchmark_run
meta_run_00004,PAIR_0058,Agent_With,3058,Task-03,SRC-103,Measures/data/public/wine.csv,38.3494,low,medium,task_only,long,2026-08-14T13:58:17.358451+00:00,2026-08-14T13:58:34.584839+00:00,0.114,0.0399,3,0.4486045608400611,0.9151033586108804,0.7302067172217609,0.1373532682854443,1.0,0,0,0,0,1.0,1.0,87.8673,real_data_meta_benchmark_run
meta_run_00005,PAIR_0022,Agent_Without,3022,Task-01,SRC-101,Measures/data/public/california_housing.csv,48.3813,high,medium,task_plus_history,long,2026-08-14T13:58:17.361101+00:00,2026-08-14T13:58:34.947379+00:00,0.0555,0.0194,4,0.4780137857948437,0.6872977923542612,0.31205514317937494,0.2828434993773536,1.0,0,0,0,0,1.0,1.0,80.2008,real_data_meta_benchmark_run
meta_run_00006,PAIR_0022,Agent_With,3022,Task-01,SRC-101,Measures/data/public/california_housing.csv,48.3813,high,medium,task_plus_history,long,2026-08-14T13:58:17.364859+00:00,2026-08-14T13:58:35.269915+00:00,0.18,0.063,3,0.4498231999108463,0.7560275715896875,0.41205514317937497,0.23284349937735357,1.0,0,0,0,0,1.0,1.0,82.8652,real_data_meta_benchmark_run
meta_run_00007,PAIR_0054,Agent_Without,3054,Task-02,SRC-102,Measures/data/public/diabetes.csv,46.8639,medium,high,task_only,long,2026-08-14T13:58:17.367660+00:00,2026-08-14T13:58:35.558455+00:00,0.0144,0.01,4,0.4597424206447116,0.6540771284449302,0.2389696825788466,0.2996731902621579,1.0,0,0,0,0,1.0,1.0,78.9643,real_data_meta_benchmark_run
meta_run_00008,PAIR_0054,Agent_With,3054,Task-02,SRC-102,Measures/data/public/diabetes.csv,46.8639,medium,high,task_only,long,2026-08-14T13:58:17.369996+00:00,2026-08-14T13:58:35.834582+00:00,0.1279,0.0448,3,0.4498231999108463,0.7194848412894232,0.33896968257884663,0.2496731902621579,1.0,0,0,0,0,1.0,1.0,81.7599,real_data_meta_benchmark_run
meta_run_00009,PAIR_0003,Agent_Without,3003,Task-01,SRC-101,Measures/data/public/california_housing.csv,48.3813,high,high,task_plus_history,short,2026-08-14T13:58:17.372541+00:00,2026-08-14T13:58:36.151174+00:00,0.0405,0.0142,4,0.4777901645051672,0.6868912081912131,0.3111606580206688,0.2830568223462851,1.0,0,0,0,0,1.0,1.0,80.1859,real_data_meta_benchmark_run
meta_run_00010,PAIR_0003,Agent_With,3003,Task-01,SRC-101,Measures/data/public/california_housing.csv,48.3813,high,high,task_plus_history,short,2026-08-14T13:58:17.374709+00:00,2026-08-14T13:58:36.411442+00:00,0.1551,0.0543,3,0.4498231999108463,0.7555803290103345,0.4111606580206688,0.2330568223462851,1.0,0,0,0,0,1.0,1.0,82.8522,real_data_meta_benchmark_run
meta_run_00011,PAIR_0001,Agent_Without,3001,Task-01,SRC-101,Measures/data/public/california_housing.csv,48.3813,high,medium,task_plus_history,long,2026-08-14T13:58:17.377322+00:00,2026-08-14T13:58:36.708003+00:00,0.0489,0.0171,4,0.4760568943145586,0.683739807844652,0.3042275772582345,0.28470369564428477,1.0,0,0,0,0,1.0,1.0,80.0679,real_data_meta_benchmark_run
meta_run_00012,PAIR_0001,Agent_With,3001,Task-01,SRC-101,Measures/data/public/california_housing.csv,48.3813,high,medium,task_plus_history,long,2026-08-14T13:58:17.380808+00:00,2026-08-14T13:58:37.018450+00:00,0.1527,0.0534,3,0.45488987274803305,0.7521137886291173,0.40422757725823455,0.23470369564428478,1.0,0,0,0,0,1.0,1.0,82.7911,real_data_meta_benchmark_run
meta_run_00013,PAIR_0012,Agent_Without,3012,Task-02,SRC-102,Measures/data/public/diabetes.csv,46.8639,medium,high,task_only,long,2026-08-14T13:58:17.383957+00:00,2026-08-14T13:58:37.330514+00:00,0.0153,0.01,4,0.48239096002099746,0.695256290947268,0.32956384008399003,0.278627829528936,1.0,0,0,0,0,1.0,1.0,80.4996,real_data_meta_benchmark_run
meta_run_00014,PAIR_0012,Agent_With,3012,Task-02,SRC-102,Measures/data/public/diabetes.csv,46.8639,medium,high,task_only,long,2026-08-14T13:58:17.386193+00:00,2026-08-14T13:58:37.617287+00:00,0.1353,0.0473,3,0.4498231999108463,0.764781920041995,0.42956384008399007,0.22862782952893598,1.0,0,0,0,0,1.0,1.0,83.1329,real_data_meta_benchmark_run
meta_run_00015,PAIR_0017,Agent_With,3017,Task-03,SRC-103,Measures/data/public/wine.csv,38.3494,low,high,task_plus_history,short,2026-08-14T13:58:17.388368+00:00,2026-08-14T13:58:37.932962+00:00,0.1063,0.0372,3,0.4498231999108463,0.9489698820286763,0.7979397640573527,0.10648955918703819,1.0,0,0,0,0,1.0,1.0,89.0372,real_data_meta_benchmark_run
meta_run_00016,PAIR_0017,Agent_Without,3017,Task-03,SRC-103,Measures/data/public/wine.csv,38.3494,low,high,task_plus_history,short,2026-08-14T13:58:17.390367+00:00,2026-08-14T13:58:38.337446+00:00,0.0103,0.01,4,0.5744849410143381,0.862699892753342,0.6979397640573526,0.1564895591870382,1.0,0,0,0,0,1.0,1.0,87.0626,real_data_meta_benchmark_run
