run_id,agent_condition,seed,task_id,start_ts,end_ts,total_time_sec,time_to_first_valid_plan_sec,iterations_count,d_efficiency,mean_power,predicted_gain,uncertainty_index,budget_used_ratio,invalid_assumptions_count,budget_violations_count,model_mismatch_flags,decision_reversal_count,output_completeness_score,format_compliance_score,impact_score,notes
agent_with_0001,Agent_With,1001,Task-01,2026-08-14T13:03:14.786800+00:00,2026-08-14T13:03:36.670303+00:00,0.2638,0.0923,3,0.45488987274803305,0.7486729191738482,0.39734583834769643,0.2363270242816329,1.0,0,0,0,0,1.0,1.0,82.6841,real_data_benchmark_run
agent_without_0001,Agent_Without,1001,Task-01,2026-08-14T13:03:16.170254+00:00,2026-08-14T13:03:36.948152+00:00,0.0426,0.0149,4,0.47433645958692405,0.6806117447034983,0.2973458383476964,0.2863270242816329,1.0,0,0,0,0,1.0,1.0,79.9512,real_data_benchmark_run
agent_with_0002,Agent_With,1002,Task-02,2026-08-14T13:03:14.923688+00:00,2026-08-14T13:03:37.341429+00:00,0.1238,0.0433,3,0.4498231999108463,0.7430661487727198,0.38613229754543965,0.23894855384337452,1.0,0,0,0,0,1.0,1.0,82.4728,real_data_benchmark_run
agent_without_0002,Agent_Without,1002,Task-02,2026-08-14T13:03:16.201620+00:00,2026-08-14T13:03:37.820381+00:00,0.0157,0.01,4,0.4715330743863599,0.6755146807024726,0.2861322975454396,0.28894855384337453,1.0,0,0,0,0,1.0,1.0,79.7615,real_data_benchmark_run
agent_with_0003,Agent_With,1003,Task-03,2026-08-14T13:03:15.059048+00:00,2026-08-14T13:03:38.403480+00:00,0.1211,0.0424,3,0.4486045608400611,0.9533592355956716,0.8067184711913432,0.10180674983552411,1.0,0,0,0,0,1.0,1.0,89.1824,real_data_benchmark_run
agent_without_0003,Agent_Without,1003,Task-03,2026-08-14T13:03:16.231538+00:00,2026-08-14T13:03:39.003337+00:00,0.0124,0.01,4,0.5766796177978357,0.8666902141778832,0.7067184711913432,0.1518067498355241,1.0,0,0,0,0,1.0,1.0,87.2345,real_data_benchmark_run
agent_with_0004,Agent_With,1004,Task-01,2026-08-14T13:03:15.227275+00:00,2026-08-14T13:03:39.533507+00:00,0.1464,0.0512,3,0.44982319991084607,0.757935798909646,0.41587159781929206,0.23193112056545007,1.0,0,0,0,0,1.0,1.0,82.924,real_data_benchmark_run
agent_without_0004,Agent_Without,1004,Task-01,2026-08-14T13:03:16.291358+00:00,2026-08-14T13:03:40.037901+00:00,0.0417,0.0146,4,0.478967899454823,0.6890325444633145,0.315871597819292,0.28193112056545006,1.0,0,0,0,0,1.0,1.0,80.266,real_data_benchmark_run
agent_with_0005,Agent_With,1005,Task-02,2026-08-14T13:03:15.370705+00:00,2026-08-14T13:03:40.502338+00:00,0.1275,0.0446,3,0.4518282606577591,0.7517129846398817,0.4034259692797634,0.23489336368286037,1.0,0,0,0,0,1.0,1.0,82.7527,real_data_benchmark_run
agent_without_0005,Agent_Without,1005,Task-02,2026-08-14T13:03:16.321999+00:00,2026-08-14T13:03:41.151438+00:00,0.013,0.01,4,0.4758564923199408,0.6833754405817105,0.30342596927976334,0.2848933636828604,1.0,0,0,0,0,1.0,1.0,80.055,real_data_benchmark_run
